date,file size,number of words,% negative,% positive,% uncertainty,% litigious,% strong modal,% weak modal,% constraining,# of alphabetic,# of digits,# of numbers,avg # of syllables per word,average word length,vocabulary,net neg
4/1/08,10858,1591,2.828409805,0.565681961,1.508485229,0.439974859,0.50282841,0.50282841,0.125707102,546.3859208,221,75,1.719044626,5.264613451,473,2.262727844
6/1/08,11295,1686,3.084223013,0.771055753,1.304863582,0.118623962,0.177935943,0.415183867,0.118623962,534.6975089,226,73,1.705812574,5.190391459,479,2.31316726
8/1/08,10676,1585,2.523659306,0.504731861,1.388012618,0.315457413,0.315457413,0.504731861,0.063091483,539.9369085,194,64,1.699684543,5.218927445,471,2.018927445
10/1/08,11205,1685,3.026706231,1.008902077,1.483679525,0.237388724,0.296735905,0.534124629,0.178041543,531.15727,225,74,1.689614243,5.148367953,470,2.017804154
12/1/08,11048,1631,3.188228081,0.735744942,0.980993256,0.367872471,0.245248314,0.306560392,0,542.6118945,216,66,1.730839975,5.229920294,454,2.452483139
2/1/09,8839,1296,3.62654321,0.308641975,1.543209877,0.540123457,0.077160494,0.462962963,0.077160494,546.6049383,180,58,1.739197531,5.233024691,409,3.317901235
3/1/09,8479,1251,3.916866507,0.559552358,1.119104716,0.479616307,0.079936051,0.639488409,0.079936051,540.8473221,180,60,1.715427658,5.231814548,398,3.357314149
4/1/09,9475,1383,3.832248735,0.650759219,1.590744758,0.506146059,0,0.578452639,0.28922632,535.5748373,294,110,1.699204628,5.187997108,422,3.181489516
5/1/09,8034,1159,3.796376186,1.035375324,1.639344262,0.431406385,0.172562554,0.776531493,0.172562554,545.9016393,193,64,1.708369284,5.232096635,393,2.761000863
7/1/09,8896,1306,3.445635528,0.382848392,1.684532925,0.076569678,0.153139357,0.842266462,0.306278714,537.0597243,226,64,1.684532925,5.163859112,392,3.062787136
8/1/09,8603,1272,2.751572327,1.022012579,1.729559748,0.550314465,0.078616352,0.70754717,0.157232704,531.3679245,225,69,1.677672956,5.105345912,391,1.729559748
9/1/09,8645,1296,3.086419753,0.848765432,1.62037037,0.308641975,0,0.540123457,0.077160494,529.5524691,169,55,1.655092593,5.055555556,387,2.237654321
10/1/09,9186,1376,2.543604651,1.01744186,1.308139535,0.363372093,0.218023256,0.581395349,0.145348837,532.994186,173,50,1.686046512,5.126453488,417,1.526162791
11/1/09,10152,1518,2.635046113,1.185770751,2.042160738,0.329380764,0.197628458,0.92226614,0.395256917,539.8550725,138,47,1.725955204,5.260869565,464,1.449275362
1/1/10,12399,1816,2.533039648,1.486784141,2.533039648,0.330396476,0.275330396,0.936123348,0.495594714,550.0550661,203,70,1.727973568,5.268171806,494,1.046255507
3/1/10,13086,1923,2.860114405,1.716068643,0.936037441,0.15600624,0.364014561,0.31201248,0.572022881,547.8939158,230,81,1.754550182,5.322932917,544,1.144045762
5/1/10,11596,1729,2.544823597,1.156737999,2.255639098,0.2313476,0.1156738,0.809716599,0.2313476,537.9988433,186,68,1.718334297,5.20821284,480,1.388085599
7/1/10,13326,1969,2.945657694,0.914169629,1.625190452,0.253936008,0.152361605,0.558659218,0.253936008,544.8958862,201,67,1.768410361,5.326053834,576,2.031488065
9/1/10,13337,2005,2.842892768,1.296758105,1.44638404,0.349127182,0.249376559,0.598503741,0.29925187,534.8129676,193,71,1.70872818,5.219950125,584,1.546134663
11/1/10,14727,2200,2.681818182,1.090909091,1.545454545,0.181818182,0.136363636,0.454545455,0.136363636,537.9545455,227,91,1.722272727,5.218181818,614,1.590909091
1/1/11,14727,2200,2.681818182,1.090909091,1.545454545,0.181818182,0.136363636,0.454545455,0.136363636,537.9545455,227,91,1.722272727,5.218181818,614,1.590909091
3/1/11,14368,2120,2.688679245,1.132075472,1.698113208,0.235849057,0.188679245,0.801886792,0.235849057,539.6226415,320,111,1.699056604,5.206603774,558,1.556603774
5/1/11,12895,1918,2.398331595,1.199165798,1.407716371,0.208550574,0.31282586,0.573514077,0.46923879,534.2022941,267,93,1.647028154,5.084984359,527,1.199165798
7/1/11,15423,2336,3.039383562,0.898972603,1.840753425,0.342465753,0.214041096,0.642123288,0.299657534,525.0428082,278,88,1.65625,5.090325342,599,2.140410959
9/1/11,15532,2383,2.769618128,0.503566932,1.888375997,0.209819555,0.209819555,0.377675199,0.125891733,519.1775073,268,94,1.658833403,5.049937054,599,2.266051196
11/1/11,14202,2121,3.347477605,0.801508722,1.414427157,0.23573786,0.141442716,0.518623291,0.424328147,535.3606789,257,85,1.706270627,5.166430929,565,2.545968883
1/1/12,15681,2320,2.887931034,0.775862069,1.681034483,0.25862069,0.086206897,0.603448276,0.172413793,541.5948276,296,94,1.712931034,5.225862069,608,2.112068966
3/1/12,17264,2558,1.837372948,1.36825645,1.876465989,0.156372166,0.27365129,0.977326036,0.351837373,535.3401095,392,132,1.680218921,5.148944488,628,0.469116497
5/1/12,15140,2264,3.356890459,1.148409894,2.208480565,0.397526502,0.220848057,0.927561837,0.176678445,533.6572438,285,96,1.703180212,5.167844523,593,2.208480565
7/1/12,16284,2468,3.889789303,0.810372771,1.823338736,0.162074554,0.648298217,0.891410049,0.121555916,523.6223663,327,112,1.661669368,5.082252836,630,3.079416532
9/1/12,18654,2798,2.894924946,0.964974982,1.89421015,0.321658327,0.107219442,0.750536097,0.214438885,532.880629,302,108,1.679056469,5.145103645,681,1.929949964
11/1/12,19442,2931,3.377686796,0.989423405,2.149437052,0.375298533,0.341180484,0.784715114,0.272944388,537.2227909,199,73,1.706584783,5.222449676,782,2.388263391
1/1/13,17882,2663,3.00413068,0.826135937,1.802478408,0.262861434,0.262861434,0.826135937,0.375516335,538.2651145,313,106,1.702966579,5.21104018,693,2.177994743
3/1/13,18632,2679,2.836879433,1.045166107,1.493094438,0.186636805,0.261291527,0.485255692,0.335946249,540.537514,448,164,1.706980216,5.20268757,629,1.791713326
5/1/13,17574,2640,4.090909091,0.984848485,1.628787879,0.378787879,0.189393939,0.53030303,0.568181818,534.3560606,260,94,1.706060606,5.1875,696,3.106060606
7/1/13,18954,2787,3.193397919,0.753498385,1.650520273,0.251166128,0.179404377,0.645855759,0.287047004,527.8076785,454,163,1.673125224,5.128094726,675,2.439899534
9/1/13,19461,2901,3.550499828,0.999655291,2.102723199,0.344708721,0.275766977,0.65494657,0.206825233,527.5077559,326,118,1.699069286,5.144432954,723,2.550844536
11/1/13,17882,2624,2.782012195,0.838414634,1.524390244,0.266768293,0.381097561,0.571646341,0.228658537,535.0609756,294,112,1.663871951,5.098704268,660,1.943597561
1/1/14,19546,2789,3.29867336,0.89637863,1.362495518,0.143420581,0.322696307,0.501972033,0.286841162,541.3051273,518,180,1.693079957,5.166009322,693,2.402294729
3/1/14,20413,2963,2.69996625,1.046236922,1.518731016,0.236247047,0.303746203,0.53999325,0.303746203,537.6307796,431,160,1.686466419,5.191697604,668,1.653729328
5/1/14,18444,2745,2.732240437,0.619307832,1.785063752,0.29143898,0.255009107,0.692167577,0.255009107,524.8087432,349,130,1.649180328,5.064845173,655,2.112932605
7/1/14,21153,3115,2.825040128,0.738362761,0.995184591,0.417335474,0.128410915,0.321027287,0.224719101,529.117175,433,161,1.66388443,5.119101124,727,2.086677368
9/1/14,20921,3010,2.92358804,0.930232558,1.794019934,0.431893688,0.23255814,0.598006645,0.265780731,546.9435216,396,137,1.707973422,5.215614618,710,1.993355482
11/1/14,18928,2795,3.148479428,1.109123435,1.216457961,0.214669052,0.322003578,0.53667263,0.322003578,534.3470483,281,113,1.676565295,5.131663685,674,2.039355993
1/1/15,19050,2786,3.409906676,1.184493898,1.04091888,0.32304379,0.215362527,0.358937545,0.251256281,534.0990668,376,146,1.669418521,5.107681263,645,2.225412778
3/1/15,18041,2653,3.505465511,0.829249906,1.432340746,0.376931775,0.226159065,0.603090841,0.30154542,533.7730871,340,127,1.700339239,5.181304184,649,2.676215605
5/1/15,17763,2616,2.943425076,0.458715596,2.178899083,0.649847095,0.267584098,0.917431193,0.267584098,537.4617737,252,96,1.708715596,5.226681957,670,2.48470948
7/1/15,17885,2634,3.492786636,0.759301443,2.126044039,0.227790433,0.227790433,0.569476082,0.455580866,536.3705391,265,105,1.718678815,5.203113136,649,2.733485194
9/1/15,16515,2451,4.243166055,0.44879641,2.284781722,0.367197062,0.203998368,0.652794778,0.367197062,538.7596899,173,72,1.755609955,5.252957976,621,3.794369645
11/1/15,16092,2315,3.498920086,1.123110151,2.159827214,0.30237581,0.172786177,0.90712743,0.345572354,554.0820734,214,74,1.745140389,5.336069114,662,2.375809935
1/1/16,16515,2451,4.243166055,0.44879641,2.284781722,0.367197062,0.203998368,0.652794778,0.367197062,538.7596899,173,72,1.755609955,5.252957976,621,3.794369645
3/1/16,16080,2335,3.854389722,0.985010707,1.627408994,0.214132762,0.128479657,0.728051392,0.214132762,544.3254818,296,110,1.720342612,5.28993576,586,2.869379015
5/1/16,16092,2374,2.864363943,1.053074979,1.97978096,0.168491997,0.168491997,0.673967987,0.294860994,537.4894693,208,79,1.689132266,5.207245156,618,1.811288964
7/1/16,15770,2344,3.498293515,1.066552901,2.090443686,0.42662116,0.170648464,0.554607509,0.21331058,534.6416382,208,82,1.704351536,5.229948805,602,2.431740614
9/1/16,16253,2387,2.97444491,1.42438207,2.010892333,0.293255132,0.125680771,0.754084625,0.293255132,543.3179724,196,77,1.710934227,5.30372853,602,1.55006284
11/1/16,15266,2250,3.066666667,1.022222222,2.355555556,0.133333333,0.088888889,1.066666667,0.222222222,540.8888889,168,68,1.721333333,5.231555556,630,2.044444444
1/1/17,16626,2456,3.216612378,1.343648208,2.035830619,0.244299674,0.16286645,0.895765472,0.447882736,536.970684,241,91,1.686889251,5.228827362,654,1.872964169
3/1/17,15274,2241,2.766622044,1.204819277,1.963409192,0.133868809,0.178491745,0.312360553,0.312360553,536.367693,259,100,1.721999108,5.231146809,606,1.561802767
5/1/17,14259,2076,3.323699422,1.156069364,2.312138728,0.048169557,0.048169557,0.867052023,0.096339114,542.822736,181,73,1.739884393,5.322736031,573,2.167630058
7/1/17,15422,2180,3.256880734,1.651376147,2.247706422,0.091743119,0.321100917,0.504587156,0.229357798,558.0733945,279,101,1.760091743,5.421559633,635,1.605504587
9/1/17,14988,2117,2.503542749,1.369863014,1.983939537,0.141709967,0.236183278,0.519603212,0.141709967,558.1483231,260,95,1.748228625,5.39914974,590,1.133679735
11/1/17,16258,2305,2.559652928,0.997830803,2.559652928,0.130151844,0.21691974,1.041214751,0.433839479,554.4902386,310,108,1.731019523,5.29978308,634,1.561822126
1/1/18,16485,2339,2.265925609,1.881145789,1.710132535,0.12825994,0.342026507,0.513039761,0.342026507,551.1329628,351,130,1.705857204,5.284309534,628,0.38477982
3/1/18,13542,1945,2.467866324,1.439588689,1.645244216,0.051413882,0.359897172,0.462724936,0.205655527,549.151671,341,112,1.716195373,5.28688946,565,1.028277635
5/1/18,13672,1982,2.522704339,1.26135217,2.219979818,0.100908174,0.353178607,0.454086781,0,541.5237134,334,114,1.697275479,5.235620585,564,1.26135217
7/1/18,9112,1299,2.540415704,0.461893764,1.770592764,0.307929176,0.538876059,0.230946882,0.307929176,546.9591994,245,82,1.729022325,5.253271747,440,2.07852194
9/1/18,8328,1181,2.116850127,0.33869602,1.439458086,0.423370025,0.423370025,0.084674005,0.254022015,550.381033,223,78,1.744284505,5.243861135,397,1.778154107
11/1/18,9226,1276,2.586206897,0.470219436,1.645768025,0,0.548589342,0.39184953,0.313479624,567.1630094,252,86,1.742163009,5.304075235,444,2.115987461
1/1/19,8709,1181,2.709568163,0.592718036,1.524132091,0,0.33869602,0.33869602,0.33869602,568.6706181,317,107,1.758679086,5.309906859,421,2.116850127
3/1/19,9602,1338,2.391629297,0.448430493,1.718983558,0.149476831,0.523168909,0.298953662,0.373692078,555.0822123,329,114,1.73916293,5.295216741,436,1.943198804
5/1/19,8488,1182,2.707275804,0.930626058,2.030456853,0.169204738,0.507614213,0.592216582,0.423011844,556.9373942,289,99,1.730118443,5.340947547,432,1.776649746
7/1/19,9392,1286,2.721617418,0.544323484,2.021772939,0.233281493,0.544323484,0.388802488,0.155520995,567.4183515,312,104,1.762052877,5.434681182,429,2.177293935
9/1/19,8362,1139,2.458296752,0.877963126,1.580333626,0,0.526777875,0.35118525,0.175592625,565.8472344,286,99,1.750658472,5.387181738,391,1.580333626
11/1/19,8431,1127,2.573203194,0.709849157,2.48447205,0.088731145,0.621118012,0.709849157,0.177462289,575.8651287,298,107,1.740905058,5.411712511,398,1.863354037
1/1/20,8367,1115,1.883408072,1.165919283,2.242152466,0.089686099,0.627802691,0.717488789,0.269058296,575.8744395,300,105,1.738116592,5.417040359,391,0.717488789
3/1/20,8977,1277,2.584181676,0.626468285,2.114330462,0.234925607,0.469851214,0.313234143,0.313234143,545.027408,304,110,1.765074393,5.276429131,468,1.957713391
4/1/20,9256,1323,2.418745276,0.982615268,1.889644747,0.15117158,0.831443689,0.453514739,0.529100529,546.2585034,276,99,1.741496599,5.259259259,515,1.436130008
5/1/20,8640,1221,2.129402129,0.737100737,1.965601966,0.163800164,0.819000819,0.491400491,0.573300573,550.6961507,276,94,1.762489762,5.317772318,467,1.392301392
7/1/20,8430,1170,2.393162393,1.025641026,1.965811966,0.256410256,0.683760684,0.341880342,0.341880342,557.2649573,297,103,1.773504274,5.355555556,458,1.367521368
9/1/20,9218,1264,1.819620253,0.949367089,2.056962025,0.237341772,0.632911392,0.474683544,0.158227848,567.4841772,298,105,1.778481013,5.383702532,485,0.870253165
11/1/20,9579,1335,1.498127341,1.123595506,2.02247191,0.149812734,0.898876404,0.374531835,0.149812734,560.9737828,316,115,1.746816479,5.301872659,508,0.374531835
1/1/21,8892,1221,1.556101556,1.146601147,1.801801802,0.163800164,0.982800983,0.327600328,0.40950041,563.963964,357,113,1.757575758,5.298935299,447,0.40950041
3/1/21,12222,1741,2.010338886,0.861573808,2.125215393,0.057438254,0.516944285,0.402067777,0.229753016,531.7633544,531,191,1.652498564,5.057438254,509,1.148765078
5/1/21,9157,1275,1.725490196,1.803921569,1.960784314,0.078431373,0.705882353,0.235294118,0.31372549,556.4705882,336,116,1.756078431,5.33254902,468,-0.078431373
9/1/21,9157,1275,1.725490196,1.803921569,1.960784314,0.078431373,0.705882353,0.235294118,0.31372549,556.4705882,336,116,1.756078431,5.33254902,468,-0.078431373
5/1/22,12495,1769,1.58281515,0.847936687,1.921989825,0.056529112,0.565291125,0.395703787,0.395703787,531.656303,578,209,1.676088185,5.087054833,522,0.734878462
7/1/22,12483,1796,1.837416481,0.668151448,1.781737194,0.111358575,0.501113586,0.334075724,0.167037862,520.2672606,598,212,1.65311804,5.0155902,523,1.169265033
